ETF,Metric,Final_Value,Passive_Potential,Relative_MSE
XLB,ATR,1042.2415137750136,1030.0954245167607,0.9221232135992506
XLB,Squared_Returns,1000.0,1030.0954245167607,1.2982930761211144
XLE,ATR,866.1178279529449,1257.9542075527802,0.05081665354827534
XLE,Squared_Returns,824.3699621315662,1257.9542075527802,0.2184874103284963
XLF,ATR,839.4828035617213,985.8379228953579,0.06676839213462445
XLF,Squared_Returns,958.9199995994197,985.8379228953579,0.3163490190003974
XLI,ATR,1040.1788476678348,1146.8315301391035,1.32380945724418
XLI,Squared_Returns,974.1049997082408,1146.8315301391035,1.848296204693637
XLP,ATR,1006.3819620888796,975.6658104637015,0.1922003784274984
XLP,Squared_Returns,1000.0,975.6658104637015,0.3183592131556394
XLV,ATR,954.5760668378124,1090.9660738070988,0.10500327823575296
XLV,Squared_Returns,953.5649978780527,1090.9660738070988,0.6930338541346255
XLY,ATR,982.3934052817882,994.5755669686653,1.3059001860212105
XLY,Squared_Returns,992.7600005186576,994.5755669686653,1.2312593597667487
XLU,ATR,747.1229869389911,972.1760169363376,0.40515336513174044
XLU,Squared_Returns,1000.0,972.1760169363376,1.9262959113295322
