ETF,Metric,Final_Value,Passive_Potential,Relative_MSE
XLB,ATR,1013.9801261936727,1030.0954245167607,0.32737828239656236
XLB,Squared_Returns,1114.4000141306153,1030.0954245167607,1.0313579389991943
XLE,ATR,853.7613895758666,1257.9542075527802,0.06682657612534357
XLE,Squared_Returns,958.4799867103231,1257.9542075527802,1.0243925047337425
XLF,ATR,838.9818462645663,985.8379228953579,0.06918202775225116
XLF,Squared_Returns,1059.8050439856538,985.8379228953579,1.830463622004832
XLI,ATR,1124.3814232199497,1146.8315301391035,1.5614349602007715
XLI,Squared_Returns,1055.390003770676,1146.8315301391035,1.1506049868774004
XLP,ATR,1011.0165404643424,975.6658104637015,0.27919855208779165
XLP,Squared_Returns,1025.8850032106664,975.6658104637015,1.0022550822857454
XLV,ATR,1031.4752169280628,1090.9660738070988,0.2832182543701236
XLV,Squared_Returns,1089.1250162040847,1090.9660738070988,1.0284794301499576
XLY,ATR,982.4338037868409,994.5755669686653,1.872741448612298
XLY,Squared_Returns,1015.0250018037079,994.5755669686653,1.1461648166743066
XLU,ATR,734.9447364207356,972.1760169363376,0.2979083790125813
XLU,Squared_Returns,1066.7300094995544,972.1760169363376,1.004999340544258
